zone,state,distance_km,risk_level,description
Bhopal,Madhya Pradesh,296,Low,Low-risk region
New Delhi,Delhi,1245,High,Remote or high-distance area
Surat,Gujarat,1382,High,Remote or high-distance area
Raipur,Chhattisgarh,576,Moderate,Moderate travel area
Bengaluru,Karnataka,1475,High,Remote or high-distance area
Thiruvananthapuram,Kerala,926,Moderate,Moderate travel area
Pune,Maharashtra,894,Moderate,Moderate travel area
Lucknow,Uttar Pradesh,1102,High,Remote or high-distance area
Bhopal,Madhya Pradesh,620,Moderate,Moderate travel area
Patna,Bihar,887,Moderate,Moderate travel area
Nagpur,Maharashtra,1177,High,Remote or high-distance area
Jaipur,Rajasthan,430,Low,Low-risk region
Shimla,Himachal Pradesh,125,Low,Low-risk region
Indore,Madhya Pradesh,1257,High,Remote or high-distance area
Raipur,Chhattisgarh,159,Low,Low-risk region
Pune,Maharashtra,1011,High,Remote or high-distance area
Goa,Goa,364,Low,Low-risk region
Goa,Goa,1166,High,Remote or high-distance area
Kolkata,West Bengal,775,Moderate,Moderate travel area
Lucknow,Uttar Pradesh,1480,High,Remote or high-distance area
Jodhpur,Rajasthan,1216,High,Remote or high-distance area
Ahmedabad,Gujarat,427,Low,Low-risk region
Indore,Madhya Pradesh,238,Low,Low-risk region
Thiruvananthapuram,Kerala,931,Moderate,Moderate travel area
Jaipur,Rajasthan,416,Low,Low-risk region
Guwahati,Assam,1435,High,Remote or high-distance area
Pune,Maharashtra,670,Moderate,Moderate travel area
Jodhpur,Rajasthan,556,Moderate,Moderate travel area
Amritsar,Punjab,1444,High,Remote or high-distance area
Indore,Madhya Pradesh,1264,High,Remote or high-distance area
New Delhi,Delhi,555,Moderate,Moderate travel area
Kolkata,West Bengal,899,Moderate,Moderate travel area
Mumbai,Maharashtra,249,Low,Low-risk region
Chandigarh,Chandigarh,1060,High,Remote or high-distance area
Pune,Maharashtra,307,Low,Low-risk region
Jaipur,Rajasthan,1011,High,Remote or high-distance area
Goa,Goa,995,Moderate,Moderate travel area
Kolkata,West Bengal,889,Moderate,Moderate travel area
Manali,Himachal Pradesh,1103,High,Remote or high-distance area
Nagpur,Maharashtra,1413,High,Remote or high-distance area
Chandigarh,Chandigarh,895,Moderate,Moderate travel area
Surat,Gujarat,575,Moderate,Moderate travel area
Thiruvananthapuram,Kerala,137,Low,Low-risk region
Bhopal,Madhya Pradesh,1046,High,Remote or high-distance area
Ahmedabad,Gujarat,1430,High,Remote or high-distance area
Visakhapatnam,Andhra Pradesh,339,Low,Low-risk region
Nagpur,Maharashtra,309,Low,Low-risk region
Guwahati,Assam,711,Moderate,Moderate travel area
Pune,Maharashtra,80,Low,Low-risk region
Dehradun,Uttarakhand,1299,High,Remote or high-distance area
Guwahati,Assam,1396,High,Remote or high-distance area
Guwahati,Assam,501,Moderate,Moderate travel area
Surat,Gujarat,264,Low,Low-risk region
Jaipur,Rajasthan,1238,High,Remote or high-distance area
Amritsar,Punjab,1130,High,Remote or high-distance area
Mumbai,Maharashtra,373,Low,Low-risk region
Mumbai,Maharashtra,159,Low,Low-risk region
Dehradun,Uttarakhand,621,Moderate,Moderate travel area
Manali,Himachal Pradesh,1008,High,Remote or high-distance area
Varanasi,Uttar Pradesh,1274,High,Remote or high-distance area
Dehradun,Uttarakhand,228,Low,Low-risk region
Nagpur,Maharashtra,370,Low,Low-risk region
Bhubaneswar,Odisha,1165,High,Remote or high-distance area
Guwahati,Assam,466,Low,Low-risk region
Nagpur,Maharashtra,208,Low,Low-risk region
Visakhapatnam,Andhra Pradesh,934,Moderate,Moderate travel area
Goa,Goa,368,Low,Low-risk region
Goa,Goa,1258,High,Remote or high-distance area
Thiruvananthapuram,Kerala,866,Moderate,Moderate travel area
Kolkata,West Bengal,197,Low,Low-risk region
Ahmedabad,Gujarat,1395,High,Remote or high-distance area
Ahmedabad,Gujarat,1317,High,Remote or high-distance area
Indore,Madhya Pradesh,291,Low,Low-risk region
Lucknow,Uttar Pradesh,763,Moderate,Moderate travel area
Chandigarh,Chandigarh,987,Moderate,Moderate travel area
Indore,Madhya Pradesh,971,Moderate,Moderate travel area
Hyderabad,Telangana,895,Moderate,Moderate travel area
Surat,Gujarat,957,Moderate,Moderate travel area
Chandigarh,Chandigarh,681,Moderate,Moderate travel area
Chandigarh,Chandigarh,460,Low,Low-risk region
Pune,Maharashtra,792,Moderate,Moderate travel area
Jaipur,Rajasthan,1347,High,Remote or high-distance area
Visakhapatnam,Andhra Pradesh,209,Low,Low-risk region
Amritsar,Punjab,1057,High,Remote or high-distance area
Patna,Bihar,542,Moderate,Moderate travel area
Jaipur,Rajasthan,729,Moderate,Moderate travel area
